379,Family Bank
380,HIGHLAND COMMUNITY BANK
381,FIRST FINANCIAL A SAVINGS ASSOCIATION OF E
382,STORY COUNTY STATE BANK
383,Jonah Bank of Wyoming
384,NORTHWEST COMMERCIAL BANK
385,First Vision Bank of Tennessee
386,FIRST SAVINGS OF AMERICA
387,FIRST INTERNATIONAL BANK
388,FARMERS STATE BK OF HOLYOKE
389,PACIFIC NATIONAL BANK
390,Wahoo State Bank
391,America's Community Bank
392,Central Federal savings and Loan Association
393,Peoples Bank of Altenburg
394,ACTION FEDERAL SAVINGS
395,PEOPLES HERITAGE
396,MIDWEST FEDERAL SAVINGS BANK
397,THE HUNTSVILLE NATIONAL BANK
398,THE WASHINGTON BANK
399,COLUMBIA RIVER BANK
400,BNB Hana Bank
401,First State Bank of Middlebury
402,Community Bank of the South
403,First National Bank of Cokato
404,First Bank and Trust of Memphis
405,THE PLANTERS NB OF ROSEBUD
406,PACIFIC SAVINGS BANK
407,THE DILL STATE BANK
408,Bank of St. Elizabeth
409,Stearns Bank Holdingford
410,COAST COMMUNITY BANK
411,GREAT PLAINS SAVINGS
412,Pleasants County Bank
413,Iowa Trust & savings Bank
414,Marquis Bank
415,Stockmens National Bank in Cotulla
416,BEN MILAM
417,Middletown State Bank
418,INTER SAVINGS BANK D/B/A/ INTERBANK
419,Southwest Missouri Bank
420,STANDARD FSA
421,AMERICAN NAT BK IN MCLEAN
422,Heartland Bank and Trust Company
423,Cadence Bank
424,First National Bank of Chadron
425,Jefferson Bank and Trust Company
426,Chappell Hill Bank
427,Merchants & Citizens Bank
428,BACLIFF BANKTIONAL ASSOCIATION
429,Metropolitan Bank
430,Putnam Bank
431,Commencement Bank
432,BAYVIEW FSA
433,First National Bank Northwest Florida
434,THE BANK OF BONIFAY
435,Beardstown savings s.b.
436,FIRST PRIORITY BANK
437,First National Bank of Okawville
438,Planters and Citizens Bank
439,State Street Bank and Trust Company
440,Bank of Cushing
441,First Exchange Bank
442,Relyance Bank
443,Hickory Point Bank and Trust
444,Union Community Bank
445,BEACON FEDERAL SAVINGS
446,SNB Bank
447,Atlanta National Bank
448,Liberty Bank Minnesota
449,CRESCENT SAVINGS BANK
450,HULEN NATIONAL BANK
451,First National Bank of Scott City
452,Bank of South Texas
453,Guilford savings Bank
454,Nelsonville Home and savings
455,Equity Bank
456,THE FIRST NAT BK OF GAYLORD
457,CRESCENT BANK AND TRUST COMPANY
458,INDEPENDENT BANK-EASTTIONAL
459,Bank of Gleason
460,FIRST AMERICAN BANKING COMPANY
461,Colonial Co-operative Bank
462,Bremer Bank
463,BANK OF DALLAS
464,LINN COUNTY BANK
465,Prosperity Bank
466,Pioneer Community Bank
467,GSL savings Bank
468,State Bank of Table Rock
469,South Central Bank
470,FIRST NATIONAL BANK OF BRAMAN
471,Peoples Bank of Moniteau County
472,SKYLINE SAVINGS ASSOCIATION
473,Reliance savings Bank
474,McCook National Bank
475,CITIZENS BANK
476,United savings Bank
477,Cincinnati Federal
478,Cache Bank and Trust
479,THE LA COSTE NATIONAL BANK
480,CBC Bank
481,Cissna Park State Bank
482,THE GUARDIAN BANK
483,COOPERATIVE BANK
484,American Community Bank of Indiana
485,FBT Bank & Mortgage
486,Burton State Bank
487,NBC OKLAHOMA
488,Minnesota National Bank
489,Pathway Bank
490,BALDWIN COUNTY FEDERAL SAVINGS BANK
491,Liberty Bank and Trust Company
492,One American Bank
493,TSB Bank
494,State Bank of Arcadia
495,GATEWAY SB
496,Tri Valley Bank
497,NORTH RIDGE BANK
498,Bellevue State Bank
499,New Albin savings Bank
500,HOME STATE BANK
501,Quaint Oak Bank
502,Pecos County State Bank
503,Union Bank and Trust Company
504,PARISH FEDERAL
505,Jefferson Bank of Missouri
506,First Business Bank-Milwaukee
507,Incommons Bank
508,Royal savings Bank
509,SOUTHMOST S & L
510,NSB Bank
511,Wheaton Bank & Trust
512,Home Exchange Bank
513,Mountain View Bank of Commerce
514,State Central Bank
515,ROOKS COUNTY FSA
516,Bank of Lumber City
517,First National Bank of Lindsay
518,St. Martin Bank and Trust Company
519,Interstate Bank
520,First Federal savings Bank of Washington
521,AMERICAN BANK OF MUSKOGEE
522,Victory State Bank
523,Earlham savings Bank
524,Simsbury Bank & Trust Company
525,ASPEN SAVINGS BANK FSB
526,Bank of Camilla
527,LIBERTY NATIONAL BANK
528,Vergas State Bank
529,Affiliated Bank
530,Nevada Bank and Trust Company
531,UNITED OKLAHOMA BANK
532,NEW WORLD NATIONAL BANK
533,Liberty National Bank in Paris
534,Bank of the Southwest
535,Bank of Mingo
536,STATE BANK OF BARNUM
537,West Alabama Bank & Trust
538,HORIZON SAVINGS BANK
539,First Interstate Bank
540,Fayette County Bank
541,Four Oaks Bank & Trust Company
542,Montezuma State Bank
543,Elmira savings Bank
544,First Farmers & Merchants State Bank
545,THE MADISON COUNTY BANK
546,FIRST FEDERAL OF COLORADO SPR.
547,Farmers State Bank of Calhan
548,AMTRUST BANK
549,RIVER PLAZA NATIONAL BANK
550,Farmers & Mechanics Bank
551,Lauderdale County Bank
552,State Bank of Wynnewood
553,First Trust & savings Bank
554,Bank of Holland
555,LAMAR SAVINGS ASSOCIATION
556,Farmers Bank of Lincoln
557,THE FIRST NAT BK OF RUSHFORD
558,Home savings and Loan AssociationF.A.
559,North Alabama Bank
560,First Independence Bank
561,Tri-County Bank & Trust Company
562,Armstrong County Building and Loan Association
563,Olympia Federal savings and Loan Association
564,Triumph State Bank
565,Western Heritage Bank
566,THE BANK OF WESTMINSTER
567,LINCOLN SAVINGS & LOAN
568,FIRST CITY
569,Centric Bank
570,EXCEL BANK
571,Central Valley Community Bank
572,Oconee Federal savings and Loan Association
573,First National Bank in Staunton
574,OLYMPIC FEDERAL SAVINGS
575,REPUBLIC FSB
576,Atlantic Stewardship Bank
577,Farmers State Bank of Canton
578,State Bank
579,First National Bank of Carrollton
580,THE AMERICAN STATE BANK
581,Sunrise Bank Dakota
582,BANKTEXAS DALLAS
583,NORTH HOUSTON BANK
584,Northern State Bank of Thief River Falls
585,Bank of Brenham
586,Methuen Co-operative Bank
587,LOUISIANA SAVINGS ASSN.
588,FIRST FEDERAL SAVINGS
589,Savings Bank of Mendocino County
590,New Century Bank
591,American National Bank
592,Coatesville savings Bank
593,First Security Trust and savings Bank
594,FIRST NATIONAL BANK OF IRVING
595,FIRST CHOICE COMMUNITY BANK
596,First Southwest Bank
597,First Madison Valley Bank
598,Community Business Bank
599,Bank of Gibson City
600,Lyndon State Bank
601,ROCKY MOUNTAIN NATIONAL BANK
602,Indus American Bank
603,Freedom Bank of Southern Missouri
604,CENTRAL FEDERAL SAVINGS
605,Key Community Bank
606,Access Bank Texas
607,Newfield National Bank
608,Bank of Romney
609,Middleton Community Bank
